cd_ibge,nm_municipio,nm_uf,cd_uf,bl_capital,regiao_uf,lat_municipio,long_municipio,lat_long_municipio,lat_central_uf,long_central_uf,lat_long_central_uf
3500303,Aguai,São Paulo,SP,False,Sudeste,-22.0572,-46.9735,"-22.0572,-46.9735",-23.55,-46.64,"-23.55,-46.64"
3500402,Aguas Da Prata,São Paulo,SP,False,Sudeste,-21.9319,-46.7176,"-21.9319,-46.7176",-23.55,-46.64,"-23.55,-46.64"
3500501,Aguas De Lindoia,São Paulo,SP,False,Sudeste,-22.4733,-46.6314,"-22.4733,-46.6314",-23.55,-46.64,"-23.55,-46.64"
3500550,Aguas De Santa Barbara,São Paulo,SP,False,Sudeste,-22.8812,-49.2421,"-22.8812,-49.2421",-23.55,-46.64,"-23.55,-46.64"
3500600,Aguas De Sao Pedro,São Paulo,SP,False,Sudeste,-22.5977,-47.8734,"-22.5977,-47.8734",-23.55,-46.64,"-23.55,-46.64"
3500709,Agudos,São Paulo,SP,False,Sudeste,-22.4694,-48.9863,"-22.4694,-48.9863",-23.55,-46.64,"-23.55,-46.64"
3500758,Alambari,São Paulo,SP,False,Sudeste,-23.5503,-47.898,"-23.5503,-47.898",-23.55,-46.64,"-23.55,-46.64"
3500808,Alfredo Marcondes,São Paulo,SP,False,Sudeste,-21.9527,-51.414,"-21.9527,-51.414",-23.55,-46.64,"-23.55,-46.64"
3500907,Altair,São Paulo,SP,False,Sudeste,-20.5242,-49.0571,"-20.5242,-49.0571",-23.55,-46.64,"-23.55,-46.64"
3501004,Altinopolis,São Paulo,SP,False,Sudeste,-21.0214,-47.3712,"-21.0214,-47.3712",-23.55,-46.64,"-23.55,-46.64"
3501103,Alto Alegre,São Paulo,SP,False,Sudeste,-21.5811,-50.168,"-21.5811,-50.168",-23.55,-46.64,"-23.55,-46.64"
3501152,Aluminio,São Paulo,SP,False,Sudeste,-23.5306,-47.2546,"-23.5306,-47.2546",-23.55,-46.64,"-23.55,-46.64"
3501202,Alvares Florence,São Paulo,SP,False,Sudeste,-20.3203,-49.9141,"-20.3203,-49.9141",-23.55,-46.64,"-23.55,-46.64"
3501301,Alvares Machado,São Paulo,SP,False,Sudeste,-22.0764,-51.4722,"-22.0764,-51.4722",-23.55,-46.64,"-23.55,-46.64"
3501400,Alvaro De Carvalho,São Paulo,SP,False,Sudeste,-22.0841,-49.719,"-22.0841,-49.719",-23.55,-46.64,"-23.55,-46.64"
3501509,Alvinlandia,São Paulo,SP,False,Sudeste,-22.4435,-49.7623,"-22.4435,-49.7623",-23.55,-46.64,"-23.55,-46.64"
3501608,Americana,São Paulo,SP,False,Sudeste,-22.7374,-47.3331,"-22.7374,-47.3331",-23.55,-46.64,"-23.55,-46.64"
3501707,Americo Brasiliense,São Paulo,SP,False,Sudeste,-21.7288,-48.1147,"-21.7288,-48.1147",-23.55,-46.64,"-23.55,-46.64"
3501806,Americo De Campos,São Paulo,SP,False,Sudeste,-20.2985,-49.7359,"-20.2985,-49.7359",-23.55,-46.64,"-23.55,-46.64"
3501905,Amparo,São Paulo,SP,False,Sudeste,-22.7088,-46.772,"-22.7088,-46.772",-23.55,-46.64,"-23.55,-46.64"
3502002,Analandia,São Paulo,SP,False,Sudeste,-22.1289,-47.6619,"-22.1289,-47.6619",-23.55,-46.64,"-23.55,-46.64"
3502101,Andradina,São Paulo,SP,False,Sudeste,-20.8948,-51.3786,"-20.8948,-51.3786",-23.55,-46.64,"-23.55,-46.64"
3502200,Angatuba,São Paulo,SP,False,Sudeste,-23.4917,-48.4139,"-23.4917,-48.4139",-23.55,-46.64,"-23.55,-46.64"
3502309,Anhembi,São Paulo,SP,False,Sudeste,-22.793,-48.1336,"-22.793,-48.1336",-23.55,-46.64,"-23.55,-46.64"
